LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1671015053.036764,66171.667,8986,3,AX,1,100,0.309
1671015053.075649,66209.333,8986,3,AX,1,100,0.281
1671015053.114533,66247.000,8986,3,AX,1,100,0.200
1671015053.154450,66285.667,9002,3,AX,1,100,0.129
1671015053.194367,66324.333,9002,3,AX,1,100,0.193
1671015053.234284,66363.000,9002,3,AX,1,100,0.301
1671015053.274546,66402.000,9019,2,AX,1,100,0.320
1671015053.314807,66441.000,9019,2,AX,1,100,0.339
1671015053.354724,66479.667,9038,3,AX,1,100,0.309
1671015053.394641,66518.333,9038,3,AX,1,100,0.281
1671015053.434558,66557.000,9038,3,AX,1,100,0.290
1671015053.474303,66595.500,9055,2,AX,1,100,0.304
1671015053.514048,66634.000,9055,2,AX,1,100,0.305
1671015053.554051,66672.750,9074,4,AX,1,100,0.298
1671015053.594054,66711.500,9074,4,AX,1,100,0.281
1671015053.634057,66750.250,9074,4,AX,1,100,0.287
1671015053.674060,66789.000,9074,4,AX,1,100,0.274
1671015053.713289,66827.000,9092,2,AX,1,100,0.204
1671015053.752518,66865.000,9092,2,AX,1,100,0.364
1671015053.792435,66903.667,9108,3,AX,1,100,0.459
