LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670854340.053175,382417.000,60501,1,BV,1,100,3.99
1670854341.056446,383389.000,60655,1,BV,1,100,3.99
1670854342.050426,384352.000,60804,1,BV,1,100,3.99
1670854343.049568,385320.000,60971,1,BV,1,100,3.99
1670854344.042517,386282.000,61135,1,BV,1,100,3.99
1670854345.040626,387249.000,61286,1,BV,1,100,3.99
1670854346.035639,388213.000,61441,1,BV,1,100,3.99
1670854347.037877,389184.000,61591,1,BV,1,100,3.99
1670854348.038051,390153.000,61755,1,BV,1,100,3.99
1670854349.037193,391121.000,61904,1,BV,1,100,3.99
1670854350.040463,392093.000,62071,1,BV,1,100,3.99
1670854351.038573,393060.000,62219,1,BV,1,100,3.99
1670854352.034618,394025.000,62374,1,BV,1,100,3.99
1670854353.028599,394988.000,62541,1,BV,1,100,3.99
1670854354.026708,395955.000,62673,1,BV,1,100,3.99
1670854355.022753,396920.000,62840,1,BV,1,100,3.99
1670854356.021895,397888.000,62989,1,BV,1,100,3.99
1670854357.023101,398858.000,63146,1,BV,1,100,3.99
1670854358.021210,399825.000,63295,1,BV,1,100,3.99
1670854359.021384,400794.000,63444,1,BV,1,100,3.99
1670854360.022590,401764.000,63611,1,BV,1,100,3.99
1670854361.017603,402728.000,63762,1,BV,1,100,3.99
1670854362.013649,403693.000,63917,1,BV,1,100,3.99
1670854363.007629,404656.000,64069,1,BV,1,100,3.99
1670854364.005739,405623.000,64234,1,BV,1,100,3.99
1670854365.004880,406591.000,64384,1,BV,1,100,3.99
1670854366.004022,407559.000,64548,1,BV,1,100,3.99
1670854367.005228,408529.000,64689,1,BV,1,100,3.99
1670854368.001273,409494.000,64837,1,BV,1,100,3.99
1670854369.000415,410462.000,65004,1,BV,1,100,3.99
1670854369.998524,411429.000,65122,1,BV,1,100,3.99
1670854370.996634,412396.000,65289,1,BV,1,100,3.98
1670854371.991647,413360.000,65437,1,BV,1,100,3.99
1670854372.986660,414324.000,59,1,BV,1,100,3.99
1670854373.985801,415292.000,208,1,BV,1,100,3.99
1670854374.984943,416260.000,375,1,BV,1,100,3.99
1670854375.984085,417228.000,539,1,BV,1,100,3.99
1670854376.985291,418198.000,688,1,BV,1,100,3.99
1670854377.982368,419164.000,844,1,BV,1,100,3.99
1670854378.981510,420132.000,1011,1,BV,1,100,3.99
1670854379.978587,421098.000,1175,1,BV,1,100,3.99
1670854380.972568,422061.000,1326,1,BV,1,100,3.99
1670854381.967581,423025.000,1490,1,BV,1,100,3.99
1670854382.966723,423993.000,1628,1,BV,1,100,3.99
1670854383.965864,424961.000,1795,1,BV,1,100,3.99
1670854384.968102,425932.000,1944,1,BV,1,100,3.99
1670854385.967244,426900.000,2111,1,BV,1,100,3.99
1670854386.971547,427873.000,2259,1,BV,1,100,3.99
1670854387.966560,428837.000,2432,1,BV,1,100,3.99
1670854388.965701,429805.000,2581,1,BV,1,100,3.99
1670854389.958650,430767.000,2730,1,BV,1,100,3.99
1670854390.954695,431732.000,2878,1,BV,1,100,3.99
1670854391.952805,432699.000,3044,1,BV,1,100,3.99
1670854392.949882,433665.000,3193,1,BV,1,100,3.99
1670854393.952120,434636.000,3365,1,BV,1,100,3.99
1670854394.949198,435602.000,3513,1,BV,1,100,3.99
1670854395.952468,436574.000,3680,1,BV,1,100,3.99
1670854396.950577,437541.000,3846,1,BV,1,100,3.99
1670854397.947655,438507.000,3995,1,BV,1,100,3.99
1670854398.947829,439476.000,4149,1,BV,1,100,3.99
1670854399.940777,440438.000,4316,1,BV,1,100,3.99
1670854400.941983,441408.000,4465,1,BV,1,100,3.99
1670854401.936996,442372.000,4632,1,BV,1,100,3.99
1670854402.943363,443347.000,4780,1,BV,1,100,3.99
1670854403.941473,444314.000,4952,1,BV,1,100,3.99
1670854404.942678,445284.000,5101,1,BV,1,100,3.99
