LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
637514.689856,637514.689831,1673972011.486950,3718551.000,19304,1,B%,1,100,48
637515.686775,637515.686750,1673972012.483840,3719517.000,19477,1,B%,1,100,48
637516.688854,637516.688829,1673972013.485891,3720488.000,19632,1,B%,1,100,48
637517.687837,637517.687813,1673972014.484846,3721456.000,19810,1,B%,1,100,48
637518.684756,637518.684732,1673972015.481737,3722422.000,19967,1,B%,1,100,48
637519.685804,637519.685779,1673972016.482756,3723392.000,20122,1,B%,1,100,48
637520.680659,637520.680634,1673972017.477582,3724356.000,20295,1,B%,1,100,48
637521.678610,637521.678585,1673972018.475505,3725323.000,20449,1,B%,1,100,48
637522.673465,637522.673440,1673972019.470332,3726287.000,20627,1,B%,1,100,48
637523.673480,637523.673456,1673972020.470319,3727256.000,20782,1,B%,1,100,48
