LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
637526.962488,637526.962463,1673972023.759233,3730443.000,21305,3,PG,1,100,807
637527.001360,637527.001336,1673972023.798104,3730480.667,21323,3,PG,1,100,814
637527.040233,637527.040208,1673972023.836976,3730518.333,21323,3,PG,1,100,808
637527.079105,637527.079080,1673972023.875847,3730556.000,21323,3,PG,1,100,816
637527.118837,637527.118812,1673972023.915578,3730594.500,21337,2,PG,1,100,806
637527.158570,637527.158545,1673972023.955309,3730633.000,21337,2,PG,1,100,809
637527.199162,637527.199137,1673972023.995900,3730672.333,21354,3,PG,1,100,815
637527.239754,637527.239729,1673972024.036491,3730711.667,21354,3,PG,1,100,815
637527.280346,637527.280322,1673972024.077082,3730751.000,21354,3,PG,1,100,812
637527.320939,637527.320914,1673972024.117674,3730790.333,21371,3,PG,1,100,803
637527.361531,637527.361506,1673972024.158265,3730829.667,21371,3,PG,1,100,824
637527.402123,637527.402098,1673972024.198856,3730869.000,21371,3,PG,1,100,817
637527.442372,637527.442347,1673972024.239103,3730908.000,21391,2,PG,1,100,815
637527.482620,637527.482595,1673972024.279350,3730947.000,21391,2,PG,1,100,812
637527.522180,637527.522155,1673972024.318909,3730985.333,21411,3,PG,1,100,808
637527.561740,637527.561716,1673972024.358469,3731023.667,21411,3,PG,1,100,810
637527.601301,637527.601276,1673972024.398028,3731062.000,21411,3,PG,1,100,815
637527.640001,637527.639976,1673972024.436727,3731099.500,21428,2,PG,1,100,808
637527.678701,637527.678676,1673972024.475426,3731137.000,21428,2,PG,1,100,827
637527.718606,637527.718581,1673972024.515329,3731175.667,21446,3,PG,1,100,812
637527.758510,637527.758485,1673972024.555232,3731214.333,21446,3,PG,1,100,821
637527.798414,637527.798389,1673972024.595135,3731253.000,21446,3,PG,1,100,807
637527.839350,637527.839326,1673972024.636070,3731292.667,21463,3,PG,1,100,814
637527.880287,637527.880262,1673972024.677006,3731332.333,21463,3,PG,1,100,814
637527.921223,637527.921198,1673972024.717941,3731372.000,21463,3,PG,1,100,810
637527.962503,637527.962479,1673972024.759220,3731412.000,21482,2,PG,1,100,805
637528.003784,637528.003759,1673972024.800499,3731452.000,21482,2,PG,1,100,807
