LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
637449.903524,637449.903501,1673971946.702460,3655774.000,8687,1,EA,1,100,0.030319
637449.970089,637449.970065,1673971946.769023,3655838.500,8704,2,EA,1,100,0.030319
637450.036653,637450.036630,1673971946.835585,3655903.000,8704,2,EA,1,100,0.030319
637450.103734,637450.103710,1673971946.902664,3655968.000,8720,1,EA,1,100,0.030319
637450.171330,637450.171307,1673971946.970258,3656033.500,8736,2,EA,1,100,0.030319
637450.238927,637450.238903,1673971947.037853,3656099.000,8736,2,EA,1,100,0.030319
637450.306007,637450.305984,1673971947.104932,3656164.000,8752,1,EA,1,100,0.030319
637450.372572,637450.372548,1673971947.171494,3656228.500,8772,2,EA,1,100,0.030319
637450.439136,637450.439113,1673971947.238057,3656293.000,8772,2,EA,1,100,0.030319
637450.505185,637450.505161,1673971947.304103,3656357.000,8789,2,EA,1,100,0.030319
637450.571233,637450.571210,1673971947.370150,3656421.000,8789,2,EA,1,100,0.030319
637450.636250,637450.636226,1673971947.435164,3656484.000,8806,1,EA,1,100,0.030319
637450.703330,637450.703307,1673971947.502243,3656549.000,8820,2,EA,1,100,0.030319
637450.770411,637450.770387,1673971947.569322,3656614.000,8820,2,EA,1,100,0.030319
637450.837491,637450.837468,1673971947.636400,3656679.000,8841,2,EA,1,100,0.030319
637450.904572,637450.904548,1673971947.703479,3656744.000,8841,2,EA,1,100,0.030319
637450.971652,637450.971629,1673971947.770557,3656809.000,8859,1,EA,1,100,0.030319
637451.038733,637451.038709,1673971947.837636,3656874.000,8876,2,EA,1,100,0.030319
637451.105813,637451.105790,1673971947.904715,3656939.000,8876,2,EA,1,100,0.030319
