LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
637481.451992,637481.451968,1673971978.250031,3686344,13867,4,TX,1,100,637481.3519889,637481.3519929,
637481.973156,637481.973132,1673971978.771180,3686849,13954,4,TX,1,100,637481.8524156,637481.8524196,
637482.404535,637482.404511,1673971979.202547,3687267,14022,4,TX,1,100,637482.3527666,637482.3527706,
637482.927763,637482.927738,1673971979.725760,3687774,14110,4,TX,1,100,637482.8528276,637482.8528349,
637483.488143,637483.488119,1673971980.286124,3688317,14195,4,TX,1,100,637483.3531821,637483.3531894,
637483.884433,637483.884409,1673971980.682403,3688701,14266,4,TX,1,100,637483.8541088,637483.8541161,
637484.416949,637484.416925,1673971981.214904,3689217,14350,4,TX,1,100,637484.3549262,637484.3549335,
637485.017578,637485.017554,1673971981.815515,3689799,14454,4,TX,1,100,637484.8551898,637484.8552236,
637485.417997,637485.417972,1673971982.215923,3690187,14511,4,TX,1,100,637485.3552994,637485.3553332,
637485.922648,637485.922624,1673971982.720560,3690676,14597,4,TX,1,100,637485.8561977,637485.8562315,
637486.432460,637486.432436,1673971983.230357,3691170,14680,4,TX,1,100,637486.3569991,637486.3570329,
637486.940208,637486.940183,1673971983.738090,3691662,14768,4,TX,1,100,637486.8578484,637486.8578646,
637487.489235,637487.489211,1673971984.287103,3692194,14852,4,TX,1,100,637487.3580299,637487.3580461,
637488.014527,637488.014503,1673971984.812380,3692703,14940,4,TX,1,100,637487.8587609,637487.8587771,
637488.520211,637488.520187,1673971985.318049,3693193,15025,4,TX,1,100,637488.3593855,637488.3594017,
637489.152831,637489.152807,1673971985.950651,3693806,15112,4,TX,1,100,637488.8602892,637488.8602813,
637489.433537,637489.433513,1673971986.231349,3694078,15165,4,TX,1,100,637489.3605196,637489.3605117,
637489.958829,637489.958805,1673971986.756626,3694587,15253,4,TX,1,100,637489.8606260,637489.8606181,
637490.411881,637490.411856,1673971987.209665,3695026,15321,4,TX,1,100,637490.3612061,637490.3612224,
637490.946460,637490.946436,1673971987.744229,3695544,15414,4,TX,1,100,637490.8619797,637490.8619960,
637491.456272,637491.456248,1673971988.254026,3696038,15498,4,TX,1,100,637491.3628973,637491.3629136,
637491.994980,637491.994956,1673971988.792719,3696560,15585,4,TX,1,100,637491.8634001,637491.8634164,
637492.513048,637492.513023,1673971989.310772,3697062,15670,4,TX,1,100,637492.3647765,637492.3647796,
637492.915531,637492.915506,1673971989.713243,3697452,15741,4,TX,1,100,637492.8652462,637492.8652493,
637493.534735,637493.534711,1673971990.332430,3698052,15843,4,TX,1,100,637493.3661662,637493.3661693,
637493.974370,637493.974346,1673971990.772053,3698478,15913,4,TX,1,100,637493.8667324,637493.8667355,
637494.426389,637494.426365,1673971991.224060,3698916,15981,4,TX,1,100,637494.3674729,637494.3674879,
637494.935169,637494.935145,1673971991.732825,3699409,16068,4,TX,1,100,637494.8686458,637494.8686608,
637495.456333,637495.456309,1673971992.253974,3699914,16153,4,TX,1,100,637495.3688631,637495.3688781,
637496.155002,637496.154978,1673971992.952623,3700591,16262,4,TX,1,100,637495.8691294,637495.8691444,
637496.487308,637496.487284,1673971993.284920,3700913,16316,4,TX,1,100,637496.3695731,637496.3695564,
637496.910431,637496.910407,1673971993.708031,3701323,16387,4,TX,1,100,637496.8695862,637496.8695695,
637497.413019,637497.412995,1673971994.210604,3701810,16471,4,TX,1,100,637497.3702276,637497.3702109,
637497.922831,637497.922806,1673971994.720401,3702304,16560,4,TX,1,100,637497.8703282,637497.8703115,
637498.442962,637498.442938,1673971995.240518,3702808,16645,4,TX,1,100,637498.3708069,637498.3708296,
637498.967222,637498.967198,1673971995.764763,3703316,16732,4,TX,1,100,637498.8715359,637498.8715587,
637499.472906,637499.472882,1673971996.270432,3703806,16815,4,TX,1,100,637499.3719667,637499.3719894,
637499.925957,637499.925933,1673971996.723471,3704245,16888,4,TX,1,100,637499.8722014,637499.8722241,
637500.488401,637500.488377,1673971997.285899,3704790,16972,4,TX,1,100,637500.3727233,637500.3727312,
637500.919780,637500.919756,1673971997.717266,3705208,17044,4,TX,1,100,637500.8732455,637500.8732534,
637501.421336,637501.421312,1673971998.218807,3705694,17118,4,TX,1,100,637501.3739430,637501.3739508,
637501.920828,637501.920803,1673971998.718284,3706178,17206,4,TX,1,100,637501.8752578,637501.8752656,
