LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
640402.203573,640402.203559,1673974898.888474,172297.000,26204,1,SF,1,100,0.0000
640402.601892,640402.601878,1673974899.286781,172683.000,26272,1,SF,1,100,0.0000
640402.935201,640402.935186,1673974899.620080,173006.000,26321,1,SF,1,100,0.0000
640403.201434,640403.201420,1673974899.886306,173264.000,26370,1,SF,1,100,0.0000
640403.535775,640403.535760,1673974900.220636,173588.000,26423,1,SF,1,100,0.0000
640403.867019,640403.867005,1673974900.551871,173909.000,26479,1,SF,1,100,0.0000
640404.202391,640404.202377,1673974900.887233,174234.000,26528,1,SF,1,100,0.0000
640404.538795,640404.538781,1673974901.223627,174560.000,26578,1,SF,1,100,0.0000
640404.938146,640404.938131,1673974901.622967,174947.000,26645,1,SF,1,100,0.0000
640405.268359,640405.268344,1673974901.953170,175267.000,26696,1,SF,1,100,0.0000
640405.533560,640405.533546,1673974902.218364,175524.000,26747,1,SF,1,100,0.0000
640405.869964,640405.869950,1673974902.554758,175850.000,26797,1,SF,1,100,0.0000
640406.201209,640406.201194,1673974902.885993,176171.000,26846,1,SF,1,100,0.0000
640406.604687,640406.604673,1673974903.289459,176562.000,26916,1,SF,1,100,0.0000
640406.936964,640406.936949,1673974903.621726,176884.000,26966,1,SF,1,100,0.0000
640407.202166,640407.202151,1673974903.886920,177141.000,27015,1,SF,1,100,0.0000
640407.531346,640407.531332,1673974904.216091,177460.000,27065,1,SF,1,100,0.0000
640407.864655,640407.864640,1673974904.549390,177783.000,27116,1,SF,1,100,0.0000
640408.194867,640408.194852,1673974904.879593,178103.000,27167,1,SF,1,100,0.0000
640408.593186,640408.593171,1673974905.277900,178489.000,27235,1,SF,1,100,0.0000
640408.928558,640408.928543,1673974905.613262,178814.000,27285,1,SF,1,100,0.0000
640409.193760,640409.193745,1673974905.878457,179071.000,27324,1,SF,1,100,0.0000
640409.591047,640409.591032,1673974906.275732,179456.000,27394,1,SF,1,100,0.0000
640409.923323,640409.923308,1673974906.607999,179778.000,27442,1,SF,1,100,0.0000
640410.254568,640410.254553,1673974906.939234,180099.000,27493,1,SF,1,100,0.0000
640410.654950,640410.654936,1673974907.339605,180487.000,27542,1,SF,1,100,0.0000
640410.853078,640410.853063,1673974907.537726,180679.000,27576,1,SF,1,100,0.0000
640411.254493,640411.254478,1673974907.939129,181068.000,27644,1,SF,1,100,0.0000
640411.586769,640411.586754,1673974908.271396,181390.000,27696,1,SF,1,100,0.0000
640411.854035,640411.854020,1673974908.538654,181649.000,27745,1,SF,1,100,0.0000
640412.186311,640412.186296,1673974908.870920,181971.000,27794,1,SF,1,100,0.0000
640412.516524,640412.516509,1673974909.201123,182291.000,27844,1,SF,1,100,0.0000
640412.917938,640412.917923,1673974909.602526,182680.000,27914,1,SF,1,100,0.0000
640413.252278,640413.252263,1673974909.936857,183004.000,27962,1,SF,1,100,0.0000
640413.522640,640413.522625,1673974910.207211,183266.000,28013,1,SF,1,100,0.0000
640413.852852,640413.852837,1673974910.537413,183586.000,28063,1,SF,1,100,0.0000
640414.189256,640414.189241,1673974910.873808,183912.000,28115,1,SF,1,100,0.0000
640414.522565,640414.522550,1673974911.207106,184235.000,28170,1,SF,1,100,0.0000
640414.853809,640414.853794,1673974911.538341,184556.000,28221,1,SF,1,100,0.0000
640415.186085,640415.186070,1673974911.870608,184878.000,28271,1,SF,1,100,0.0000
640415.519394,640415.519379,1673974912.203906,185201.000,28323,1,SF,1,100,0.0000
640415.916681,640415.916666,1673974912.601182,185586.000,28390,1,SF,1,100,0.0000
640416.249989,640416.249974,1673974912.934480,185909.000,28440,1,SF,1,100,0.0000
640416.520350,640416.520335,1673974913.204834,186171.000,28489,1,SF,1,100,0.0000
